Service,Service Provider Name,Service Type,Top_B_Feature1,Top_B_Feature_2,average_monthly_running_cost,Description,Education_Score,Health_Score,Finance_Score,Tech_Score
Gmail,Google,Business Email,Calendar Support,Custom Domain Support,6,"Part of Google Workspace, Gmail offers seamless integration with Google Calendar, Docs, and Drive, making it ideal for teams needing collaboration and cloud storage.",,,,
ProtonMail,Proton,Business Email,Calendar Support,Custom Domain Support,5,"A privacy-first email provider with end-to-end encryption, ProtonMail is built for organizations needing secure communication and GDPR-compliant infrastructure.",,,,
Zoho Mail,Zoho,Business Email,Calendar Support,Custom Domain Support,1,"An affordable email service designed for startups and small businesses, offering custom domains, basic calendar, and admin controls at minimal cost.",,,,
Outlook,Microsoft,Business Email,Calendar Support,Custom Domain Support,7,"Outlook is part of Microsoft 365, offering deep integration with Word, Excel, Teams, and robust calendaring for enterprise-grade collaboration.",,,,
Google Cloud,Google,Cloud Infrastructure,Scalable Compute & Storage,Advanced AI & Data Processing Capabilities,36,"High-scale cloud with global infra, strong ML tooling (TPUs, BigQuery, Vertex)",,,,
Amazon AWS,Amazon,Cloud Infrastructure,Scalable Compute & Storage,Advanced AI & Data Processing Capabilities,25,"Massive catalog of services, flexible architecture, global scale",,,,
Microsoft Azure,Microsoft,Cloud Infrastructure,Scalable Compute & Storage,Advanced AI & Data Processing Capabilities,28,"Seamless fit for enterprises using Office, Windows, AD stack",,,,
DigitalOcean,DigitalOcean,Cloud Infrastructure,Scalable Compute & Storage,Simple UI & Developer-Friendly API,7,"Fast setup, predictable billing, excellent for startups/devs",,,,
Linode,Akamai,Cloud Infrastructure,Scalable Compute & Storage,CLI Tools & Cost Transparency,5,"Transparent pricing, Linux-first experience, good documentation",,,,
Vultr,Vultr,Cloud Infrastructure,Scalable Compute & Storage,IPv6 Support & Bare Metal Availability,6,"Edge locations, bare metal options, and flexible hourly billing",,,,
Hetzner,Hetzner,Cloud Infrastructure,Scalable Compute & Storage,High-Performance Bare Metal,4,EU-based infra with very high performance-to-price ratio,,,,
Scaleway,Scaleway,Cloud Infrastructure,Scalable Compute & Storage,Privacy-Conscious Compliance Features,6,"GDPR-first, France-based infra with clean UI and elasticity",,,,
ChatGPT,OpenAI,LLM,Natural Language Understanding,Plugin Integration,3000,High-capability model with broad integration; BDS/ethical flagged,,,,
Gemini,Google DeepMind,LLM,Natural Language Understanding,Plugin Integration,4000,Grounded web-linked responses; ethical issues flagged,,,,
Claude,Anthropic,LLM,Natural Language Understanding,Privacy Focus,3500,Strong privacy guardrails; aligned toward safer outputs,,,,
Hugging Face Hub,Hugging Face,LLM,Natural Language Understanding,Open Source,0,Large model hub; encourages reproducibility,,,,
Mistral,Mistral.ai,LLM,Natural Language Understanding,Open Source,0,MIT-licensed; highly performant for local inference,,,,
Falcon,TII (UAE Gov),LLM,Natural Language Understanding,Open Source,0,Apache 2.0 license; supports many languages,,,,
BLOOM,BigScience,LLM,Natural Language Understanding,Multilingual Support,0,Built by researchers; strong multilingual focus,,,,
GPT-NeoX / GPT-J,EleutherAI,LLM,Natural Language Understanding,Open Source,0,Decentralized open LLM alternatives,,,,
OpenLLaMA,Berkeley/Community,LLM,Natural Language Understanding,Open Source,0,"Transparent, research-grade LLaMA variant",,,,
PayPal,PayPal Holdings,Online Payments,Global Access,Mainstream Adoption	,15,"Popular platform with wide reach, but criticized for freezing funds & political bias.",,,,
Stripe,Stripe Inc.,Online Payments,Global Access,Developer-Friendly,65,"Powerful APIs and fast payouts, widely used by devs. Not privacy-centric.",,,,
Wise,Wise Ltd,Online Payments,Global Access,Transparent Fees,12.5,"Honest FX, clear pricing, but no E2EE or open-source features.",,,,
BTCPay Server,BTCPay Foundation,Online Payments,Open-source,End-to-End Encrypted,10,"Fully decentralized, privacy-focused, suitable for ethical crypto payments.",,,,
Mollie,Mollie B.V.,Online Payments,Global Access,Ethical Banking,40,"Based in EU, adheres to stricter finance laws, but lacks E2EE.",,,,
Dwolla,Dwolla Inc.,Online Payments,Low Transaction Fees,Developer-Friendly,62.5,"US-based fast bank transfers, solid API support, but no E2EE.",,,,
Taler,GNU Project,Online Payments,Privacy-Preserving,End-to-End Encrypted,0,"Digital cash system, privacy-focused, open-source and free.",,,,
GloBee,GloBee,Online Payments,Global Access,End-to-End Encrypted,27.5,"Supports Monero and other privacy coins, crypto-friendly and international.",,,,
Checkout.com,Checkout Ltd,Online Payments,Global Access,Developer-Friendly,100,"Powerful multi-currency platform with high scalability, but opaque ethics.",,,,
Razorpay,Razorpay Software Pvt. Ltd.,Online Payments,India-Focused	,Developer-Friendly,60,"Fast, modern Indian gateway, great for startups, but no encryption layer.",,,,
Slack,Salesforce,Team Chat,App Integrations,Easy to Use,60,"Modern chat tool with channels, search, and file sharing.",,,,
Microsoft Teams,Microsoft,Team Chat,App Integrations,Office Integration,50,"Combines chat, meetings, and docs inside Microsoft ecosystem.",,,,
Google Chat,Google,Team Chat,Email Integration,Easy to Use,36,Works inside Gmail and Google Workspace.,,,,
Mattermost,Mattermost Inc.,Team Chat,Open Source,Private Deployment,20,"Secure chat system, ideal for internal servers.",,,,
Rocket.Chat,Rocket.Chat,Team Chat,Open Source,Private Deployment,25,"Customizable messaging platform, open source.",,,,
Zulip,Kandra Labs,Team Chat,Open Source,Easy to Use,10,Unique threaded messaging system.,,,,
Discord,Discord Inc.,Team Chat,App Integrations,Voice Support,15,Popular with dev teams and communities.,,,,
Flock,Flock Inc.,Team Chat,Easy to Use,Built-in Tasks,20,Chat + to-dos in one lightweight platform.,,,,
Ryver,Ryver Inc.,Team Chat,App Integrations,Built-in Tasks,25,Mix of team chat and Trello-style task boards.,,,,